"Add route","Route hinzufügen"
"Route","Route"
"TTL","TTL"
"All content types","Alle Content-Types"
"All stores","Alle Stores"
"An error occurred while clearing the Fastly CDN.","Beim Leeren des Fastly CDNs trat ein Fehler auf."
"CSS","CSS"
"Cache TTL for routes","Cache-TTL für Routen"
"Clean Fastly CDN","Fastly CDN leeren"
"Debug","Debug"
"Default cache TTL","Default cache TTL"
"Disable caching","Caching deaktivieren"
"Disable caching for routes","Caching für Routen deaktivieren"
"Disable caching vars","Cache-Deaktivierungs-Variablen"
"Domain or IP list separted by semicolon (e.g. host1;127.0.0.1)","Domänen- oder IP-Liste getrennt durch Strichpunkt (z.B. server1;127.0.0.1)"
"Enable cache module","Aktiviere Caching Modul"
"HTML","HTML"
"Images","Bilder"
"JavaScript","JavaScript"
"Fastly CDN Settings","Fastly CDN Einstellungen"
"Fastly CDN version: %s","Fastly CDN Version: %s"
"Pass X-headers for debugging purpose to the client and log purge requests to /var/log/varnish_cache.log (ensure developer log is enabled).","X-Header für Debugging an den Client weitergeben und PURGE-Requests in /var/log/varnish_cache.log schreiben (Entwickler-Log muss aktiviert sein)."
"Port of the Varnish servers (e.g. 8080)","Port der Varnish Server (e.g. 8080)"
"Purge CMS page","CMS-Seite leeren"
"Purge CMS page's cache item on save","Leere Cache-Element der CMS-Seite beim Speichern"
"Purge categorie's cache item on save","Leere Cache-Element der Kategorie beim Speichern"
"Purge category","Kategorie leeren"
"Purge product","Produkt leeren"
"Purge product's cache item on save","Leere Cache-Element des Produkts beim Speichern"
"Remove selected cache items in external Fastly CDN.","Entfernung ausgewählter Objekte aus dem externen Fastly CDN."
"Server port","Server Port"
"Set a TTL of ""0"" for certain routes/actions (e.g. checkout, catalog_product_view). Use one per line.","TTL von ""0"" für bestimmte Routen/Controller-Actions (z.B. checkout, catalog_product_view) setzen. Ein Ausdruck pro Zeile."
"Set a TTL of ""0"" for every request","Setzt einen TTL von ""0"" für jede Anfrage"
"TTL for cached pages in seconds (e.g. ""1800"" = page cache is valid for 30 minutes).","TTL für gecachte Seiten in Sekunden (z.B. ""1800"" = Seiten-Cache ist für 30 Minuten gültig)."
"TTL for cached pages in seconds for certain routes/actions (e.g. Route:""catalog_product_view"", TTL:""7200"").","TTL für gecachte Seiten in Sekunden (z.B. Route:""catalog_product_view"", TTL:""7200"")."
"The JavaScript/CSS cache has been cleaned on the Varnish servers.","Der JavaScript/CSS Cache wurde in den Varnish Servern geleert."
"The Fastly CDN has been cleaned.","Der Fastly CDN wurde geleert."
"The catalog image cache has been cleaned on the Varnish servers.","Der Katalog Bilder Cache wurde in den Varnish Servern geleert."
"Fastly CDN for ""%s"" has been purged.","Fastly CDN von ""%s"" wurde geleert."
"Fastly CDN for the product's categories has been purged.","Fastly CDN der Produktkategorie wurde geleert."
"Varnish servers","Varnish Server"
"Quick Purge","Quick Purge"
"Purge URL in Fastly CDN.","Entfernt URL aus dem Fastly CDN."
"Invalid URL ""%s"".","Ungültige URL ""%s""."
"Invalid domain ""%s"".","Ungültige Domäne ""%s""."
"The URL's ""%s"" cache has been cleaned.","Der Cache der URL ""%s"" wurde geleert."
"Update Varnish VCL with design exceptions by using the following snippet:","Aktualisieren Sie die Varnish VCL für die Design Exceptions indem Sie folgendes Schnipsel dort einfügen:"
"Fastly CDN version: %s","Fastly CDN Version: %s"
"ESI Settings","ESI Einstellungen"
"Crawler Settings","Crawler Einstellungen"
"To contact Fastly support please click <a href=""%s"">here</a>.","Um den Fastly Support zu kontaktieren, bitte <a href=""%s"">hier</a> klicken."
"Secret for Varnish admin.","Secret für Varnish Admin."
"Admin port of the Varnish server (e.g. 6082)","Admin-Port des Varnish Servers (e.g. 6082)"
"Admin server port","Admin Server Port"
"Admin server secret","Admin Server Secret"
"Crawler thread number","Anzahl der Crawler-Threads"
"Download VCL file reflecting current config settings.","Download des VCL-Datei mit den letzten Konfigurationsänderungen."
"Enable Crawler","Crawler aktivieren"
"Enable Crawler for Fastly CDN heating.","Aktiviert den Crawler, um den Fastly CDN zu füllen."
"Generate cache for design exceptions","Cache für Design Exceptions generieren"
"Generate cache for all currencies","Cache für alle Währungen generieren"
"Cron expression for Crawler","Cron-Ausdruck für Crawler"
"*unix like cronjob expression","*unix üblicher Cronjob-Ausdruck"
"Varnish version","Varnish Version"
